year,county,stage,station_id,yield_bu_acre,acres_planted,acres_harvested,opt_temp_min,opt_temp_max,opt_precip,stage_duration_days,stage_start_date,stage_end_date,precip_total,precip_avg,precip_max,Temp_avg,TempMAX_avg,TempMIN_avg,Snow_total,SnowDepth_avg,WindSpeed_avg,temp_deviation,precip_deviation,water_stress_indicator,hail_events,tornado_events,high_wind_events,thunder_events,total_extreme_weather_days,GDD
2019,CARROLL,germination,US1OHLC0016,51.8,1400.0,600.0,7,15,30,20,4/15/19,5/4/19,3.43,0.1715,0.79,,,,,,,,1.9040666666666666,1.0,0.0,0.0,0.0,0.0,0.0,
2019,CARROLL,vegetative,US1OHLC0016,51.8,1400.0,600.0,15,24,100,50,5/5/19,6/23/19,9.350000000000001,0.18700000000000003,1.06,,,,,,,,1.3749,1.0,0.0,0.0,0.0,0.0,0.0,
2019,CARROLL,reproductive,US1OHLC0016,51.8,1400.0,600.0,18,24,75,30,6/24/19,7/23/19,8.8,0.29333333333333333,1.57,,,,,,,,1.9802666666666668,1.0,0.0,0.0,0.0,0.0,0.0,
2019,COSHOCTON,germination,US1OHLC0016,62.5,1000.0,400.0,7,15,30,20,4/15/19,5/4/19,3.43,0.1715,0.79,,,,,,,,1.9040666666666666,1.0,0.0,0.0,0.0,0.0,0.0,
2019,COSHOCTON,vegetative,US1OHLC0016,62.5,1000.0,400.0,15,24,100,50,5/5/19,6/23/19,9.350000000000001,0.18700000000000003,1.06,,,,,,,,1.3749,1.0,0.0,0.0,0.0,0.0,0.0,
2019,COSHOCTON,reproductive,US1OHLC0016,62.5,1000.0,400.0,18,24,75,30,6/24/19,7/23/19,8.8,0.29333333333333333,1.57,,,,,,,,1.9802666666666668,1.0,0.0,0.0,0.0,0.0,0.0,
2019,GEAUGA,germination,US1OHPT0010,48.0,500.0,400.0,7,15,30,20,4/15/19,5/4/19,4.449999999999999,0.22249999999999998,1.97,,,,0.0,0.0,,,2.7676666666666656,1.0,0.0,0.0,0.0,0.0,0.0,
2019,GEAUGA,vegetative,US1OHPT0010,48.0,500.0,400.0,15,24,100,50,5/5/19,6/23/19,8.510000000000002,0.18911111111111115,1.72,,,,0.0,0.0,,,1.1615400000000002,1.0,0.0,0.0,0.0,0.0,0.0,
2019,GEAUGA,reproductive,US1OHPT0010,48.0,500.0,400.0,18,24,75,30,6/24/19,7/23/19,5.55,0.25227272727272726,1.15,,,,0.0,0.0,,,0.8795999999999999,1.0,0.0,0.0,0.0,0.0,0.0,
2019,HOLMES,germination,USW00054856,51.7,1600.0,700.0,7,15,30,20,4/15/19,5/4/19,3.3,0.17368421052631577,0.54,52.89473684210526,62.1578947368421,43.63157894736842,,,,0.6081871345029217,1.7939999999999998,1.0,0.0,0.0,0.0,0.0,0.0,7.208187134502923
2019,HOLMES,vegetative,USW00054856,51.7,1600.0,700.0,15,24,100,50,5/5/19,6/23/19,9.810000000000002,0.19620000000000004,1.3,63.150000000000006,72.34,53.96,,,,2.194444444444443,1.4917400000000003,1.0,0.0,0.0,0.0,0.0,0.0,12.905555555555557
2019,HOLMES,reproductive,USW00054856,51.7,1600.0,700.0,18,24,75,30,6/24/19,7/23/19,11.61,0.38699999999999996,5.59,75.01666666666668,84.13333333333334,65.9,,,,2.898148148148156,2.9319199999999994,1.0,0.0,0.0,0.0,0.0,0.0,19.498148148148154
