year,county,stage,station_id,yield_bu_acre,acres_planted,acres_harvested,production_bu,harvest_efficiency,opt_temp_min,opt_temp_max,opt_precip,stage_duration_days,stage_start_date,stage_end_date,days_with_data,expected_days,data_completeness,PRCP_total,PRCP_avg,PRCP_max,TAVG_avg,TMAX_avg,TMIN_avg,TMAX_max,TMIN_min,SNOW_total,SNWD_avg,SNWD_max,AWND_avg,WT03_count,WT05_count,WT10_count,WT11_count,temp_deviation,temp_stress_indicator,cold_stress_flag,heat_stress_flag,precip_deviation,drought_risk_flag,flood_risk_flag,water_stress_indicator,total_extreme_weather_days,hail_events,tornado_events,high_wind_events,thunder_events,critical_hail_reproductive,GDD
2019,ALLEN,germination,USW00014838,52.8,82200,81900,4324000,99.64,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,2.51,0.10913043478260868,0.94,66.26086956521739,76.17391304347827,56.21739130434783,90.0,42.0,0.0,0.0,0.0,8.004782608695654,8,0,0,0,48.76,2.313,0,1,47.49,1,0,0.65,8,0,0,0,8,0,33.11
2019,ALLEN,vegetative,USW00014838,52.8,82200,81900,4324000,99.64,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,9.35,0.19081632653061223,2.65,74.24489795918367,84.12244897959184,65.14285714285714,94.0,48.0,0.0,0.0,0.0,7.198775510204082,15,0,0,0,49.24,1.475,0,1,90.65,1,0,0.606,15,0,0,0,15,0,37.57
2019,ALLEN,reproductive,USW00014838,52.8,82200,81900,4324000,99.64,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,5.300000000000001,0.06463414634146342,0.76,72.63414634146342,84.0,61.829268292682926,94.0,44.0,0.0,0.0,0.0,6.52548780487805,17,0,0,0,47.63,1.594,0,1,119.7,1,0,0.658,17,0,0,0,17,0,35.91
2019,ASHLAND,germination,USW00014820,49.2,36000,35700,1755000,99.17,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,2.46,0.10695652173913044,0.91,,75.52173913043478,55.04347826086956,88.0,40.0,0.0,,,8.276956521739132,8,0,0,0,,,0,0,47.54,1,0,0.651,8,0,0,0,8,0,32.52
2019,ASHLAND,vegetative,USW00014820,49.2,36000,35700,1755000,99.17,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,7.6,0.15510204081632653,1.02,,83.40816326530613,63.857142857142854,93.0,47.0,0.0,,,7.285714285714286,14,0,0,0,,,0,0,92.4,1,0,0.624,14,0,0,0,14,0,36.93
2019,ASHLAND,reproductive,USW00014820,49.2,36000,35700,1755000,99.17,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,5.59,0.06817073170731708,1.18,,82.78048780487805,60.048780487804876,93.0,42.0,0.0,,,6.598658536585366,9,0,0,0,,,0,0,119.41,1,0,0.655,9,0,0,0,9,0,35.02
2019,ASHTABULA,germination,USW00014852,46.4,30100,30000,1391000,99.67,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,4.26,0.1852173913043478,0.93,62.08695652173913,73.43478260869566,50.43478260869565,87.0,37.0,0.0,0.0,0.0,7.87782608695652,6,0,0,0,44.59,2.104,0,1,45.74,1,0,0.615,6,0,0,0,6,0,30.22
2019,ASHTABULA,vegetative,USW00014852,46.4,30100,30000,1391000,99.67,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,10.969999999999999,0.22387755102040813,1.42,70.71428571428571,81.40816326530613,60.142857142857146,91.0,41.0,0.0,0.0,0.0,6.856734693877551,18,0,0,0,45.71,1.357,0,1,89.03,1,0,0.59,18,0,0,0,18,0,35.07
2019,ASHTABULA,reproductive,USW00014852,46.4,30100,30000,1391000,99.67,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,9.84,0.12,2.67,68.17073170731707,79.09756097560975,57.58536585365854,91.0,40.0,0.0,0.0,0.0,6.665,16,0,0,0,43.17,1.435,0,1,115.16,1,0,0.621,16,0,0,0,16,0,33.79
2019,AUGLAIZE,germination,USW00093815,48.8,97500,97000,4729000,99.49,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,4.19,0.18217391304347827,1.26,65.69565217391305,75.08695652173913,56.73913043478261,88.0,42.0,0.0,0.0,0.0,9.64782608695652,9,0,0,0,48.2,2.285,0,1,45.81,1,0,0.616,9,0,0,0,9,0,33.37
