"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","185",""
"SURVEY","2025","YEAR - AUG FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","196",""
"SURVEY","2025","YEAR - NOV FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","194",""
"SURVEY","2025","YEAR - SEP FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","194",""
"SURVEY","2024","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","177",""
"SURVEY","2024","YEAR - AUG FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","188",""
"SURVEY","2024","YEAR - NOV FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","185",""
"SURVEY","2024","YEAR - OCT FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","183",""
"SURVEY","2024","YEAR - SEP FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","187",""
"SURVEY","2023","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","198",""
"SURVEY","2023","YEAR - AUG FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","191",""
"SURVEY","2023","YEAR - NOV FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","195",""
"SURVEY","2023","YEAR - OCT FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","195",""
"SURVEY","2023","YEAR - SEP FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","195",""
"SURVEY","2022","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","187",""
"SURVEY","2022","YEAR - AUG FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","190",""
"SURVEY","2022","YEAR - NOV FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","186",""
"SURVEY","2022","YEAR - OCT FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","187",""
"SURVEY","2022","YEAR - SEP FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","186",""
"SURVEY","2021","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","193",""
"SURVEY","2021","YEAR - AUG FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","193",""
"SURVEY","2021","YEAR - NOV FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","188",""
"SURVEY","2021","YEAR - OCT FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","188",""
"SURVEY","2021","YEAR - SEP FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","190",""
"SURVEY","2020","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","171",""
"SURVEY","2020","YEAR - AUG FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","175",""
"SURVEY","2020","YEAR - NOV FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","168",""
"SURVEY","2020","YEAR - OCT FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","173",""
"SURVEY","2020","YEAR - SEP FORECAST","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","172",""
